customer_id,customer_name,gender,age,email,phone,city,state,signup_date,customer_segment
CUST000001,Aryan Maharaj,Unknown,43,aadighose@example.com,5432293114,Mumbai,Telangana,2021-01-07 23:35:59.154671,Inactive
CUST000002,Udant Dewan,FEMALE,43,mallickonkar@example.org,,Vadodara,Uttar Pradesh,2021-01-08 00:35:59.154671,Regular
CUST000003,Gagan Sami,F,34,jagat44@example.com,0930452717,Noida,Madhya Pradesh,2021-01-08 01:35:59.154671,VIP
CUST000004,Ayushman Chander,Unknown,48,chakrabortyadya@example.com,0972901168,Indore,Karnataka,2021-01-08 02:35:59.154671,Inactive
CUST000005,Viraj Tiwari,M,36,xjayaraman@example.org,5947999211,Hyderabad,Gujarat,2021-01-08 03:35:59.154671,New
CUST000006,Rushil Saini,,61,ladowen@example.org,+910355508,Chennai,West Bengal,2021-01-08 04:35:59.154671,New
CUST000007,Saumya Mall,F,37,zashilkumer@example.net,4708602487,Indore,West Bengal,2021-01-08 05:35:59.154671,Premium
CUST000008,Nathaniel Sami,F,76,ugoswami@example.org,6031300155,Lucknow,Uttar Pradesh,2021-01-08 06:35:59.154671,Premium
CUST000009,Arunima Dugal,Unknown,40,aachalsaran@example.org,+913066751,Noida,Telangana,2021-01-08 07:35:59.154671,Regular
CUST000010,Gayathri Chaudry,male,42,osha61@example.org,,Ahmedabad,Maharashtra,2021-01-08 08:35:59.154671,Inactive
CUST000011,Lajita Chatterjee,M,45,semnimrat@example.org,9640268016,Surat,Tamil Nadu,2021-01-08 09:35:59.154671,New
CUST000012,Hemangini Lalla,Unknown,54,mugdha03@example.net,0284064406,Chandigarh,Karnataka,2021-01-08 10:35:59.154671,Inactive
CUST000013,Tripti Yadav,M,29,zayyanbrar@example.com,,Pune,Tamil Nadu,2021-01-08 11:35:59.154671,Regular
CUST000014,Kritika Brar,M,65,chanakya43@example.com,7868037284,Patna,Delhi,2021-01-08 12:35:59.154671,Inactive
CUST000015,Janaki Handa,,18,jhaveridarsh@example.org,0257395199,Chandigarh,Madhya Pradesh,2021-01-08 13:35:59.154671,VIP
CUST000016,Chakradev Kari,F,19,tatazashil@example.com,0654540110,Kolkata,Karnataka,2021-01-08 14:35:59.154671,Inactive
CUST000017,Fariq Kaul,FEMALE,27,dwadhwa@example.org,0756298074,Bengaluru,West Bengal,2021-01-08 15:35:59.154671,Premium
CUST000018,Lajita Mall,,51,revasrinivasan@example.com,4248394852,Mumbai,Bihar,2021-01-08 16:35:59.154671,Regular
CUST000019,Janya Gaba,,49,vivaan17@example.org,7141904289,Patna,Bihar,2021-01-08 17:35:59.154671,New
CUST000020,Isha Kadakia,M,42,daniel52@example.net,,Delhi,Punjab,2021-01-08 18:35:59.154671,VIP
CUST000021,Ekbal Garg,Female,27,xitiprakash@example.org,+916658782,Noida,Madhya Pradesh,2021-01-08 19:35:59.154671,New
CUST000022,Nihal Shere,F,72,baghyawati72@example.com,0078864872,Surat,Telangana,2021-01-08 20:35:59.154671,Premium
CUST000023,Anamika Kanda,male,67,sehgalguneet@example.net,+915806364,Kolkata,Karnataka,2021-01-08 21:35:59.154671,VIP
CUST000024,Daksh Karnik,,18,warriorvasana@example.net,0837668120,Surat,Haryana,2021-01-08 22:35:59.154671,Premium
CUST000025,Diya Rattan,FEMALE,49,ekalinga47@example.com,3417185153,Lucknow,Gujarat,2021-01-08 23:35:59.154671,Premium
CUST000026,Dominic Kakar,Female,54,santom@example.com,0041517405,Jaipur,Tamil Nadu,2021-01-09 00:35:59.154671,Inactive
CUST000027,Simon Tata,Female,29,narulazansi@example.org,4829533595,Ahmedabad,Tamil Nadu,2021-01-09 01:35:59.154671,VIP
CUST000028,Tara Dhar,male,66,dugalsiddharth@example.org,1903634020,Nagpur,Gujarat,2021-01-09 02:35:59.154671,VIP
CUST000029,Liam Koshy,,74,victorsankar@example.com,+918698204,Nagpur,Kerala,2021-01-09 03:35:59.154671,New
CUST000030,Priya Rastogi,FEMALE,68,hema49@example.net,0661008857,Hyderabad,West Bengal,2021-01-09 04:35:59.154671,Premium
CUST000031,Theodore Devi,F,35,hsethi@example.org,0088493708,Kolkata,Gujarat,2021-01-09 05:35:59.154671,Regular
CUST000032,Gavin Batta,Male,47,alexanderchhabra@example.org,0880326737,Chennai,Bihar,2021-01-09 06:35:59.154671,VIP
CUST000033,Michael Dutta,FEMALE,30,gaurangikalla@example.net,0804477388,Pune,West Bengal,2021-01-09 07:35:59.154671,Regular
CUST000034,Devansh Rajan,male,71,ojas49@example.org,0542229966,Kochi,Madhya Pradesh,2021-01-09 08:35:59.154671,VIP
CUST000035,Upadhriti Wadhwa,Female,20,kulkarnigarima@example.org,9571166742,Chennai,Karnataka,2021-01-09 09:35:59.154671,New
CUST000036,Advay Contractor,F,38,zinal27@example.com,+915545687,Noida,Rajasthan,2021-01-09 10:35:59.154671,Regular
CUST000037,Harini Choudhury,FEMALE,59,sabharwalarunima@example.org,0876439758,Noida,Maharashtra,2021-01-09 11:35:59.154671,VIP
CUST000038,Radhika Dugar,Male,31,wadhwamekhala@example.com,2419818232,Surat,Kerala,2021-01-09 12:35:59.154671,Premium
CUST000039,Aarush Lall,Male,57,aayushmall@example.net,+918064436,Visakhapatnam,Bihar,2021-01-09 13:35:59.154671,New
CUST000040,Yashica Cherian,M,27,jshere@example.net,8851753605,Indore,Madhya Pradesh,2021-01-09 14:35:59.154671,Premium
CUST000041,Yashica Issac,M,19,omkaar20@example.org,+916841705,Chennai,Telangana,2021-01-09 15:35:59.154671,Regular
CUST000042,Kashvi Edwin,Unknown,77,lakshperi@example.com,6671515398,Noida,Karnataka,2021-01-09 16:35:59.154671,New
CUST000043,Ekiya Suresh,male,62,moraroviya@example.org,1236703761,Visakhapatnam,Punjab,2021-01-09 17:35:59.154671,Premium
